name,institution,email,paper_title,paper_url,synopsis,linkedin_url
Pierre-Carl Langlais,Pleias,,Common Corpus: The Largest Collection of Ethical Data for LLM Pre-Training,https://openreview.net/forum?id=0wSlFpMsGb,"This paper addresses the growing legal risks of training Large Language Models on copyrighted data that is becoming increasingly difficult to access under new AI regulations. The authors introduce Common Corpus, a two trillion token dataset built entirely from uncopyrighted or permissively licensed sources covering diverse languages, code, and domains. Testing with small language models shows the dataset performs comparably to existing benchmarks while ensuring full compliance with strict legal requirements. This resource enables developers to build ethical, multilingual AI systems that remain legally secure without relying on restricted web scrapes.",
Pavel Chizhov,Technical University of Applied Sciences Würzburg-Schweinfurt,,Common Corpus: The Largest Collection of Ethical Data for LLM Pre-Training,https://openreview.net/forum?id=0wSlFpMsGb,"This paper addresses the growing legal risks of training Large Language Models on copyrighted data that is becoming increasingly difficult to access under new AI regulations. The authors introduce Common Corpus, a two trillion token dataset built entirely from uncopyrighted or permissively licensed sources covering diverse languages, code, and domains. Testing with small language models shows the dataset performs comparably to existing benchmarks while ensuring full compliance with strict legal requirements. This resource enables developers to build ethical, multilingual AI systems that remain legally secure without relying on restricted web scrapes.",
Catherine Arnett,EleutherAI,,Common Corpus: The Largest Collection of Ethical Data for LLM Pre-Training,https://openreview.net/forum?id=0wSlFpMsGb,"This paper addresses the growing legal risks of training Large Language Models on copyrighted data that is becoming increasingly difficult to access under new AI regulations. The authors introduce Common Corpus, a two trillion token dataset built entirely from uncopyrighted or permissively licensed sources covering diverse languages, code, and domains. Testing with small language models shows the dataset performs comparably to existing benchmarks while ensuring full compliance with strict legal requirements. This resource enables developers to build ethical, multilingual AI systems that remain legally secure without relying on restricted web scrapes.",https://www.linkedin.com/in/catherine-arnett96
Carlos Rosas Hinostroza,Université Sorbonne-Nouvelle (Paris III),,Common Corpus: The Largest Collection of Ethical Data for LLM Pre-Training,https://openreview.net/forum?id=0wSlFpMsGb,"This paper addresses the growing legal risks of training Large Language Models on copyrighted data that is becoming increasingly difficult to access under new AI regulations. The authors introduce Common Corpus, a two trillion token dataset built entirely from uncopyrighted or permissively licensed sources covering diverse languages, code, and domains. Testing with small language models shows the dataset performs comparably to existing benchmarks while ensuring full compliance with strict legal requirements. This resource enables developers to build ethical, multilingual AI systems that remain legally secure without relying on restricted web scrapes.",
Mattia Nee,pleias,,Common Corpus: The Largest Collection of Ethical Data for LLM Pre-Training,https://openreview.net/forum?id=0wSlFpMsGb,"This paper addresses the growing legal risks of training Large Language Models on copyrighted data that is becoming increasingly difficult to access under new AI regulations. The authors introduce Common Corpus, a two trillion token dataset built entirely from uncopyrighted or permissively licensed sources covering diverse languages, code, and domains. Testing with small language models shows the dataset performs comparably to existing benchmarks while ensuring full compliance with strict legal requirements. This resource enables developers to build ethical, multilingual AI systems that remain legally secure without relying on restricted web scrapes.",
Eliot Krzysztof Jones,Gray Swan,,Common Corpus: The Largest Collection of Ethical Data for LLM Pre-Training,https://openreview.net/forum?id=0wSlFpMsGb,"This paper addresses the growing legal risks of training Large Language Models on copyrighted data that is becoming increasingly difficult to access under new AI regulations. The authors introduce Common Corpus, a two trillion token dataset built entirely from uncopyrighted or permissively licensed sources covering diverse languages, code, and domains. Testing with small language models shows the dataset performs comparably to existing benchmarks while ensuring full compliance with strict legal requirements. This resource enables developers to build ethical, multilingual AI systems that remain legally secure without relying on restricted web scrapes.",https://www.linkedin.com/in/eliot-krzysztof-jones
Irène Girard,Université Gustave Eiffel,,Common Corpus: The Largest Collection of Ethical Data for LLM Pre-Training,https://openreview.net/forum?id=0wSlFpMsGb,"This paper addresses the growing legal risks of training Large Language Models on copyrighted data that is becoming increasingly difficult to access under new AI regulations. The authors introduce Common Corpus, a two trillion token dataset built entirely from uncopyrighted or permissively licensed sources covering diverse languages, code, and domains. Testing with small language models shows the dataset performs comparably to existing benchmarks while ensuring full compliance with strict legal requirements. This resource enables developers to build ethical, multilingual AI systems that remain legally secure without relying on restricted web scrapes.",
David Mach,Institut d'Etudes Politiques de Paris (Sciences Po),,Common Corpus: The Largest Collection of Ethical Data for LLM Pre-Training,https://openreview.net/forum?id=0wSlFpMsGb,"This paper addresses the growing legal risks of training Large Language Models on copyrighted data that is becoming increasingly difficult to access under new AI regulations. The authors introduce Common Corpus, a two trillion token dataset built entirely from uncopyrighted or permissively licensed sources covering diverse languages, code, and domains. Testing with small language models shows the dataset performs comparably to existing benchmarks while ensuring full compliance with strict legal requirements. This resource enables developers to build ethical, multilingual AI systems that remain legally secure without relying on restricted web scrapes.",
Anastasia Stasenko,Sorbonne Université - Faculté des Sciences (Paris VI),,Common Corpus: The Largest Collection of Ethical Data for LLM Pre-Training,https://openreview.net/forum?id=0wSlFpMsGb,"This paper addresses the growing legal risks of training Large Language Models on copyrighted data that is becoming increasingly difficult to access under new AI regulations. The authors introduce Common Corpus, a two trillion token dataset built entirely from uncopyrighted or permissively licensed sources covering diverse languages, code, and domains. Testing with small language models shows the dataset performs comparably to existing benchmarks while ensuring full compliance with strict legal requirements. This resource enables developers to build ethical, multilingual AI systems that remain legally secure without relying on restricted web scrapes.",
Ivan P. Yamshchikov,Technical University of Applied Sciences Würzburg-Schweinfurt,,Common Corpus: The Largest Collection of Ethical Data for LLM Pre-Training,https://openreview.net/forum?id=0wSlFpMsGb,"This paper addresses the growing legal risks of training Large Language Models on copyrighted data that is becoming increasingly difficult to access under new AI regulations. The authors introduce Common Corpus, a two trillion token dataset built entirely from uncopyrighted or permissively licensed sources covering diverse languages, code, and domains. Testing with small language models shows the dataset performs comparably to existing benchmarks while ensuring full compliance with strict legal requirements. This resource enables developers to build ethical, multilingual AI systems that remain legally secure without relying on restricted web scrapes.",
Artyom Sorokin,My own research,,Q-RAG: Long Context Multi‑Step Retrieval via Value‑Based Embedder Training,https://openreview.net/forum?id=MS9nWFY7LG,"This paper addresses the high computational cost and inefficiency of existing Retrieval-Augmented Generation systems that require multi-step search to answer complex questions over massive documents. The authors introduce Q-RAG, a resource-efficient method that uses reinforcement learning to fine-tune embedding models rather than large language models, enabling compatibility with any model size including proprietary ones. It achieves state-of-the-art results on ultra-long context benchmarks up to 10 million tokens while remaining significantly faster and cheaper than competing multi-step approaches. These advancements unlock practical use cases for open-domain question answering over vast corpora like legal or medical records without incurring prohibitive inference costs or training budgets.",
Nazar Buzun,Innopolis University,,Q-RAG: Long Context Multi‑Step Retrieval via Value‑Based Embedder Training,https://openreview.net/forum?id=MS9nWFY7LG,"This paper addresses the high computational cost and inefficiency of existing Retrieval-Augmented Generation systems that require multi-step search to answer complex questions over massive documents. The authors introduce Q-RAG, a resource-efficient method that uses reinforcement learning to fine-tune embedding models rather than large language models, enabling compatibility with any model size including proprietary ones. It achieves state-of-the-art results on ultra-long context benchmarks up to 10 million tokens while remaining significantly faster and cheaper than competing multi-step approaches. These advancements unlock practical use cases for open-domain question answering over vast corpora like legal or medical records without incurring prohibitive inference costs or training budgets.",
Aleksandr Anokhin,My own research,,Q-RAG: Long Context Multi‑Step Retrieval via Value‑Based Embedder Training,https://openreview.net/forum?id=MS9nWFY7LG,"This paper addresses the high computational cost and inefficiency of existing Retrieval-Augmented Generation systems that require multi-step search to answer complex questions over massive documents. The authors introduce Q-RAG, a resource-efficient method that uses reinforcement learning to fine-tune embedding models rather than large language models, enabling compatibility with any model size including proprietary ones. It achieves state-of-the-art results on ultra-long context benchmarks up to 10 million tokens while remaining significantly faster and cheaper than competing multi-step approaches. These advancements unlock practical use cases for open-domain question answering over vast corpora like legal or medical records without incurring prohibitive inference costs or training budgets.",
Egor KONSTANTINOVICH VEDERNIKOV,Idependent,,Q-RAG: Long Context Multi‑Step Retrieval via Value‑Based Embedder Training,https://openreview.net/forum?id=MS9nWFY7LG,"This paper addresses the high computational cost and inefficiency of existing Retrieval-Augmented Generation systems that require multi-step search to answer complex questions over massive documents. The authors introduce Q-RAG, a resource-efficient method that uses reinforcement learning to fine-tune embedding models rather than large language models, enabling compatibility with any model size including proprietary ones. It achieves state-of-the-art results on ultra-long context benchmarks up to 10 million tokens while remaining significantly faster and cheaper than competing multi-step approaches. These advancements unlock practical use cases for open-domain question answering over vast corpora like legal or medical records without incurring prohibitive inference costs or training budgets.",
Petr Anokhin,Lomonosov Moscow State University,,Q-RAG: Long Context Multi‑Step Retrieval via Value‑Based Embedder Training,https://openreview.net/forum?id=MS9nWFY7LG,"This paper addresses the high computational cost and inefficiency of existing Retrieval-Augmented Generation systems that require multi-step search to answer complex questions over massive documents. The authors introduce Q-RAG, a resource-efficient method that uses reinforcement learning to fine-tune embedding models rather than large language models, enabling compatibility with any model size including proprietary ones. It achieves state-of-the-art results on ultra-long context benchmarks up to 10 million tokens while remaining significantly faster and cheaper than competing multi-step approaches. These advancements unlock practical use cases for open-domain question answering over vast corpora like legal or medical records without incurring prohibitive inference costs or training budgets.",
Mikhail Burtsev,London Institute for Mathematical Sciences,,Q-RAG: Long Context Multi‑Step Retrieval via Value‑Based Embedder Training,https://openreview.net/forum?id=MS9nWFY7LG,"This paper addresses the high computational cost and inefficiency of existing Retrieval-Augmented Generation systems that require multi-step search to answer complex questions over massive documents. The authors introduce Q-RAG, a resource-efficient method that uses reinforcement learning to fine-tune embedding models rather than large language models, enabling compatibility with any model size including proprietary ones. It achieves state-of-the-art results on ultra-long context benchmarks up to 10 million tokens while remaining significantly faster and cheaper than competing multi-step approaches. These advancements unlock practical use cases for open-domain question answering over vast corpora like legal or medical records without incurring prohibitive inference costs or training budgets.",
Evgeny Burnaev,Applied AI Institute,,Q-RAG: Long Context Multi‑Step Retrieval via Value‑Based Embedder Training,https://openreview.net/forum?id=MS9nWFY7LG,"This paper addresses the high computational cost and inefficiency of existing Retrieval-Augmented Generation systems that require multi-step search to answer complex questions over massive documents. The authors introduce Q-RAG, a resource-efficient method that uses reinforcement learning to fine-tune embedding models rather than large language models, enabling compatibility with any model size including proprietary ones. It achieves state-of-the-art results on ultra-long context benchmarks up to 10 million tokens while remaining significantly faster and cheaper than competing multi-step approaches. These advancements unlock practical use cases for open-domain question answering over vast corpora like legal or medical records without incurring prohibitive inference costs or training budgets.",
